lipid_id	lipid_name	pmol_d00_2	pmol_d00_3	pmol_d00_4	pmol_d00_5	pmol_d03_1	pmol_d03_2	pmol_d03_3	pmol_d03_5	pmol_d07_1	pmol_d07_3	pmol_d07_4	pmol_d07_5	pmol_d14_1	pmol_d14_2	pmol_d14_3	pmol_d14_4	pmol_d14_5
DAG 16:1;0_18:0;0	Diacylglycerol (16:1_18:0)	0.378769366992963	0.226589090954867	0.275035786102551	0.270630607828571	0.2074028971751	0.361071581806925	0.319491331177395	0.281178494160595	0.217990313481128	0.344885988514348	0.316776116088014	0.268210788421364	0.247330385960509	0.542830657857781	0.397942227925895	0.256672863667148	0.246363690669517
DAG 16:0;0_18:2;0	Diacylglycerol (16:0_18:2)	3.33727960953808		2.98538583874363	1.37420020389123		1.13233518445551											
DAG 16:1;0_18:1;0	Diacylglycerol (16:1_18:1)	0.422820533503148		0.418175557876892	0.456435690101625		0.365701300977024											
DAG 16:0;0_20:1;0	Diacylglycerol (16:0_20:1)	1.16754704412288	0.744194836300659	0.89133196355649	0.970545958634151	0.792816569080263	1.30830989672938	1.05153763951574	0.896107127852486	0.547919712332192	0.837302870372256	0.953609752951968	0.777368019262126	0.5697924120186	1.05864084603169	0.992606854146726	0.66076578671918	0.71280971318866
DAG 18:0;0_18:1;0	Diacylglycerol (18:0_18:1)	16.1444024888855	10.9474454612461	13.3864172615083	13.6626626662078	9.76295502940947	16.4861763945842	11.8699722684126	10.8839258010655	7.39219585926297	11.885814588626	12.4236519256972	10.9389660533553	8.00901639106532	16.0433958161394	16.0449577749963	10.0373398446078	11.3386062077498
DAG 16:0;0_20:2;0	Diacylglycerol (16:0_20:2)	0.12873126512195	0.106722417171194	0.106791588558185	0.094417845988253	0.093549097257836	0.162993346030275	0.11589562260764	0.149033837498933	0.079573966699581	0.117246354370599	0.100881408362875	0.086209349203482	0.07071256450693	0.100391999464402	0.133534680958635	0.087202309395846	0.097784257016581
DAG 16:1;0_20:1;0	Diacylglycerol (16:1_20:1)	0.090678800574085	0.047859744726192	0.085415718094493	0.067947515618544	0.066161888571423	0.049549639061386	0.072503766495191	0.073866246643058			0.07168783007995	0.061779087081207		0.108926281179348	0.093820584699648		0.057687335202014
DAG 18:0;0_18:2;0	Diacylglycerol (18:0_18:2)	1.19654200810108	0.584074710702506	0.954083045862201	0.791165134289399	0.635137177374718	1.29039995505639	0.70354306639069	0.94849917516439	0.693095924467823	0.747041905342124	0.657252870918317	0.626807140082168	0.569529549470422	1.11489923309064	1.07536801177666	0.552912432189365	0.837716050415577
DAG 18:1;0_18:1;0	Diacylglycerol (18:1/18:1)	4.79675608708731	2.92507947281177	4.28559737184082	3.78938777540843	2.24265276919876	3.81730474869638	2.49450233165727	3.23972146448317	1.89055689798853	2.27858978220905	2.1314489174521	2.19252204118246	1.97492030261018	3.40795500697942	3.88751898913816	2.57020291723697	2.6474433575715
DAG 16:0;0_20:3;0	Diacylglycerol (16:0_20:3)	0.37791313468095	0.206413758476418	0.286016004425143	0.319888327122454		0.365650946350734											
DAG 18:1;0_18:2;0	Diacylglycerol (18:1_18:2)	3.81424049481038	0.871893245837771	4.15181295947456	1.32426257159125		1.26567509859204											
DAG 16:0;0_20:4;0	Diacylglycerol (16:0_20:4)	3.65444179209706	1.61892531231102	2.46741477312502	3.186291086279	2.28410698441565	3.91856286357153	2.68431975065721	3.13410626785768	2.4527174992716	3.59210459577413	3.20028913172951	3.00627816536722	1.85664913723661	5.35075145478706	3.91729102332157	2.45072408652065	3.0598908780569
DAG 18:1;0_18:3;0	Diacylglycerol (18:1_18:3)	0.941455865844514	2.40442562272803	2.01215586855727	0.474812566864207	0.368506099801438	1.05121998103902	0.225580350747924										
DAG 18:2;0_18:2;0	Diacylglycerol (18:2/18:2)	3.36260268775686	0.570859006933939	3.5502841437876	1.15041423264259	0.272881137234395	1.14060988870832	0.472695176015055	0.271542389214419	0.017346697930748	0.025130699605698	0.096320143416439	0.032632965786789		0.141968274398324	0.019510158661339	0.038075939575545	
DAG 16:0;0_22:1;0	Diacylglycerol (16:0_22:1)	0.165758029167055		0.1780120157946	0.109089173644435	0.173799920553773	0.308155747117185	0.21341063102557	0.21163966175113	0.100712575205042	0.192803099393169		0.245288122299034		0.265394330397324			
DAG 16:1;0_22:0;0	Diacylglycerol (16:1_22:0)						0.056872357499314	0.057784475503453	0.052605815144468		0.103756171649567			0.238890749881649	0.127683996357841	0.118565842079732		0.108099183798444
DAG 18:0;0_20:1;0	Diacylglycerol (18:0_20:1)	2.50821935225449	1.80113238818833	2.69555102929514	1.93295476421339	1.931742508225	4.06784200956402	2.52223991913721	2.63480558395988	2.31270583396276	2.42945161846922	3.6165752845322	3.53083814281835	2.48272952435579	3.00937229095023	3.2625745464918	3.91546873798852	2.13147320902989
DAG 18:1;0_20:0;0	Diacylglycerol (18:1_20:0)	0.833762394829796	0.700100532062841	1.16210989158746	0.735064745220148													
DAG 18:0;0_20:2;0	Diacylglycerol (18:0_20:2)	0.466483277498163	0.29465663119027	0.402413659903342	0.281400019661267		0.464544971322458	0.390608927081326	0.351360454783065		0.380729865379549	0.39573441491522	0.35459744515991		0.397402020569235	0.313290145990198	0.262475676917957	0.3257925777084
DAG 18:1;0_20:1;0	Diacylglycerol (18:1_20:1)	1.870892790432	1.54592944919723	1.7465751940191	1.59067616563242		1.65352656687496	1.44491497375019	1.30404793735299		1.13996715638228	1.13050611551559	1.28109451925563		1.34302269444966	1.30011324807996	1.11855335304373	1.28338540997916
DAG 16:0;0_22:4;0	Diacylglycerol (16:0_22:4)	0.459932688408167	0.270804683315091	0.345244245599968	0.435319822025937	0.356859319589393	0.488794081107819	0.424718567153779	0.440041431420165	0.295464410236368	0.379595592066829	0.341267173474211	0.304134053295542	0.251028715666535	0.466571767219961	0.450774356870349	0.29092727265196	0.290377603405614
